Nu	Country	year	Y	K	L
1	Argentina	1965	111816094	48458293.19	8723.365112
2	Australia	1965	100476324	95761323.76	4729.1878
3	Austria	1965	44574720	26379294.54	3257.909662
4	Belgium	1965	63764552	54864755.34	3584.291849
5	Bolivia	1965	5169986	3449239.099	1290.882896
6	Canada	1965	170490192	141228265.6	7664.202832
7	Chile	1965	28178112	14029479.9	2770.981611
8	Columbia	1965	33576024	38375001.55	5606.282184
9	Denmark	1965	40138488	31625685.87	2235.504762
10	"Dominican Rep."	1965	4874285	1749550.8	1072.68596
11	Equador	1965	8429118	10017702.03	1688.187062
12	Finland	1965	29729896	36175852.79	2133.010188
13	France	1965	356113824	257020190.5	20914.65461
14	"Germany, West"	1965	463793528	406765334.1	26836.79713
15	Greece	1965	26222850	22313706.06	3396.302292
16	Guatemala	1965	8055463	2955341.025	1392.714903
17	Honduras	1965	2571574	1917532.058	707.8375998
18	"Hong Kong"	1965	12508344	12946963.26	1923.768687
19	Iceland	1965	1205710	623338.4144	80.32711526
20	India	1965	365990087	160529134.1	204235.5396
21	Ireland	1965	11504000	7718000.388	1114.512691
22	Israel	1965	11902572	11346385.75	931.6352536
23	Italy	1965	295858017	251802057.3	20889.50201
24	Jamaica	1965	3663064	2430143.658	686.4812594
25	Japan	1965	444132954	319305732.1	60566.33765
26	Kenya	1965	5906680	4645558.78	4289.527959
27	"Korea, Rep"	1965	30069418	20600750.2	9842.690016
28	Malawi	1965	1623692	197683.5414	1919.257683
29	Mauritius	1965	2320640	714125.5172	357.2413793
30	Mexico	1965	150305754	79452538.83	13029.27826
31	Netherlands	1965	90926424	65087239.52	4407.91274
32	"New Zealand"	1965	23808352	18363970.21	1006.355229
33	Norway	1965	25874850	56534888.12	1501.471015
34	Panama	1965	2672578	2753820.82	443.9498339
35	Paraguay	1965	2647221	138115.8783	677.0386189
36	Peru	1965	28874045	22962683.91	3537.618843
37	Philippines	1965	40234667	31053033.73	12097.01353
38	Portugal	1965	21973503	12025247.16	3550.412506
39	"Sierra Leone"	1965	2759378	70029.66894	1045.218939
40	Spain	1965	146816480	69711591.82	11791.54124
41	"Sri Lanka"	1965	13125807	16394475.15	3933.415343
42	Sweden	1965	72715068	55078092.71	3484.191088
43	Switzerland	1965	65294400	84744735.22	2759.695689
44	Syria	1965	10708575	13613665.23	1402.747577
45	Taiwan	1965	20962480	14145141.83	4770.705508
46	Thailand	1965	34880880	14975037.49	15218.53403
47	Turkey	1965	56443800	35455401.59	14991.71315
49	"U.S.A."	1965	2263505541	1412683737	80692.50797
48	"United Kingdom"	1965	417568662	219308215.3	25086.73247
50	Yugoslavia	1965	46777638	21559918.87	8792.789098
51	Zambia	1965	4007100	3005325	1285.97561
52	Zimbabwe	1965	4135912	10536368.14	1890.270567
1	Argentina	1990	152107332	127576819.4	11346.21304
2	Australia	1990	246215025	307476364.4	8122.691508
3	Austria	1990	97903840	126732304	3666.810487
4	Belgium	1990	131883344	152316326	4156.42433
5	Bolivia	1990	11891176	12799514.19	2237.286171
6	Canada	1990	455462306	566280868.8	13247.88557
7	Chile	1990	57144474	46003856.54	4820.691243
8	Columbia	1990	106590000	133395676.7	10545.11278
9	Denmark	1990	71506169	94855706.54	2863.568499
10	"Dominican Rep."	1990	15322284	13376456.11	2221.264714
11	Equador	1990	29056985	51525317.95	3217.115257
12	Finland	1990	70098174	117301028.5	2563.004534
13	France	1990	788843440	925085695.7	25985.55325
14	"Germany, West"	1990	906789720	1201581488	30126.90521
15	Greece	1990	68512464	90782785.17	3867.046565
16	Guatemala	1990	19562019	9595518.937	2631.071822
17	Honduras	1990	7029585	6508350.091	1574.727823
18	"Hong Kong"	1990	84713545	47361206.52	3711.111622
19	Iceland	1990	3407310	2984295.014	136.4124429
20	India	1990	1073786960	645931815.8	331927.9629
21	Ireland	1990	32486822	29248672.56	1350.354227
22	Israel	1990	43328680	39088737.26	1822.063919
23	Italy	1990	720070568	739780912.8	23381.19193
24	Jamaica	1990	5996020	4044342.289	1165.180723
25	Japan	1990	1770408747	2854690200	78253.56909
26	Kenya	1990	22009760	10715433.34	11814.14922
27	"Korea, Rep"	1990	286064837	321291770.2	17854.50237
28	Malawi	1990	4415133	1552733.709	3627.882498
29	Mauritius	1990	6275850	2366213.302	615.4000784
30	Mexico	1990	476205748	361101231.4	27992.34352
31	Netherlands	1990	194809608	201905611.3	6235.503745
32	"New Zealand"	1990	38718219	50399350.12	1523.559556
33	Norway	1990	63214284	104035132.7	2161.319885
34	Panama	1990	6983184	12979869.95	873.0071259
35	Paraguay	1990	9101456	1300411.699	1425.89002
36	Peru	1990	47068256	60466245.04	6874.288886
37	Philippines	1990	108389240	83784157.51	22656.61371
38	Portugal	1990	73792904	52422812.55	4435.469375
39	"Sierra Leone"	1990	3726536	334144.5629	1498.406112
40	Spain	1990	373344097	386598917	14161.13249
41	"Sri Lanka"	1990	35617328	55423341.29	6202.948102
42	Sweden	1990	126347958	175393521.3	4450.595583
43	Switzerland	1990	110781560	248016049.5	3376.251371
44	Syria	1990	47216052	44606986.56	2974.9891
45	Taiwan	1990	164106239	229297663.1	8914.457005
46	Thailand	1990	201564740	146592538.2	29843.75777
47	Turkey	1990	209862618	184505028.7	24312.16613
49	"U.S.A."	1990	4520216088	4266245121	122928.8322
48	"United Kingdom"	1990	758801187	600659702.5	28361.09837
50	Yugoslavia	1990	108283332	92647335.72	10820.75867
51	Zambia	1990	5546450	3630354.706	2691.145075
52	Zimbabwe	1990	11589510	18180835.75	4755.646286
